team,G,wins,losses,win_pct,SRS,SOS,Unnamed: 8_level_1,wins,losses,Unnamed: 11_level_1,wins,losses,Unnamed: 14_level_1,wins,losses,Unnamed: 17_level_1,Tm.,Opp.,Unnamed: 20_level_1,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,year
Troy,34,23,11,.676,3.55,-2.10,,13,5,,11,4,,9,6,,2495,2235,,1360,851,1954,.436,261,878,.297,532,741,.718,471,1311,473,321,157,458,562,2025
UC San Diego,35,30,5,.857,12.63,-1.92,,18,2,,13,2,,12,2,,2777,2163,,1400,954,2058,.464,375,1035,.362,494,662,.746,319,1190,550,345,74,305,576,2025
UCLA,34,23,11,.676,19.68,10.71,,13,7,,15,2,,5,5,,2522,2217,,1360,909,1960,.464,252,715,.352,450,634,.710,366,1109,555,275,107,359,586,2025
UNC Wilmington,35,27,8,.771,2.36,-3.95,,14,4,,15,3,,9,4,,2771,2459,,1415,971,2067,.470,255,758,.336,574,765,.750,436,1358,538,224,120,385,585,2025
Utah State,34,26,8,.765,13.56,5.35,,15,5,,15,2,,7,4,,2716,2381,,1360,953,1970,.484,300,842,.356,510,726,.702,395,1177,583,291,94,364,617,2025
Vanderbilt,33,20,13,.606,14.66,10.05,,8,10,,14,3,,3,7,,2604,2452,,1325,915,2034,.450,267,822,.325,507,680,.746,379,1145,459,295,129,336,592,2025
Virginia Commonwealth,35,28,7,.800,14.45,1.30,,15,3,,15,1,,7,3,,2693,2201,,1405,929,2088,.445,337,1002,.336,498,670,.743,463,1337,524,282,190,394,632,2025
Wisconsin,37,27,10,.730,20.73,11.49,,13,7,,14,3,,6,5,,2964,2622,,1485,991,2184,.454,366,1052,.348,616,746,.826,347,1350,537,190,87,356,611,2025
Wofford,35,19,16,.543,-0.13,-2.34,,10,8,,7,6,,8,8,,2623,2451,,1410,935,2068,.452,340,992,.343,413,626,.660,453,1337,524,209,88,383,592,2025
Xavier,34,22,12,.647,15.25,8.72,,13,7,,15,2,,5,7,,2656,2434,,1370,905,1938,.467,285,728,.391,561,711,.789,264,1131,568,263,86,371,533,2025
Yale,30,22,8,.733,6.66,-3.10,,13,1,,11,0,,7,6,,2439,2102,,1200,896,1830,.490,229,591,.387,418,573,.729,329,1151,492,173,108,302,489,2025
