3P%_diff,AST_diff,FG%_diff,FT%_diff,SRS_diff,TOV_diff,TRB_diff,seed_diff,win_pct_diff,win_label,season
-0.01899999999999996,56.0,-0.015000000000000013,-0.03600000000000003,26.5,16.0,218.0,-15,0.31100000000000005,1,2015
0.07200000000000001,-88.0,0.01899999999999996,0.031000000000000028,8.729999999999999,-29.0,24.0,-7,0.17200000000000004,1,2015
-0.08200000000000002,-61.0,-0.03200000000000003,-0.016000000000000014,14.490000000000002,12.0,153.0,-9,0.132,1,2015
0.043999999999999984,16.0,0.02400000000000002,-0.020999999999999908,-2.7300000000000004,8.0,-107.0,5,0.10299999999999998,1,2015
-0.014999999999999958,81.0,-0.0030000000000000027,-0.017000000000000015,18.99,38.0,221.0,-11,-0.040999999999999925,1,2015
0.04299999999999998,235.0,0.03300000000000003,-0.05999999999999994,5.040000000000001,21.0,198.0,-3,0.05599999999999994,1,2015
-0.028000000000000025,-74.0,-0.01899999999999996,0.03400000000000003,21.38,-135.0,139.0,-13,0.21499999999999997,1,2015
-0.03200000000000003,-155.0,-0.033999999999999975,-0.04499999999999993,-9.02,-7.0,134.0,7,-0.30600000000000005,1,2015
-0.09100000000000003,6.0,-0.05099999999999999,-0.06499999999999995,5.580000000000002,45.0,280.0,-1,-0.136,1,2015
-0.013999999999999957,-60.0,-0.027000000000000024,0.05499999999999994,7.669999999999998,4.0,211.0,-8,-0.06399999999999995,1,2015
0.03300000000000003,216.0,0.008000000000000007,-0.09399999999999997,-4.27,125.0,226.0,5,-0.19000000000000006,1,2015
-0.04999999999999999,4.0,-0.007000000000000006,-0.018000000000000016,4.010000000000002,33.0,-18.0,-4,0.139,1,2015
0.04199999999999998,216.0,0.030000000000000027,-0.10899999999999999,-1.1899999999999977,22.0,126.0,4,0.005999999999999894,1,2015
0.07800000000000001,227.0,0.03600000000000003,-0.03600000000000003,-0.6600000000000001,33.0,107.0,3,-0.05800000000000005,1,2015
0.044999999999999984,181.0,0.062,0.07399999999999995,36.97,-86.0,190.0,-15,0.488,1,2015
0.0020000000000000018,-111.0,-0.0030000000000000027,-0.013000000000000012,-2.209999999999999,-12.0,-71.0,-1,0.05800000000000005,1,2015
-0.025000000000000022,61.0,-0.027000000000000024,-0.05699999999999994,7.1899999999999995,75.0,12.0,-7,0.017000000000000015,1,2015
-0.0050000000000000044,-67.0,-0.016000000000000014,0.08099999999999996,7.03,9.0,-53.0,-9,-0.02399999999999991,1,2015
0.01699999999999996,-55.0,0.0,-0.03799999999999992,0.4800000000000004,-59.0,-112.0,-5,0.08800000000000008,1,2015
0.0040000000000000036,76.0,0.02300000000000002,0.015000000000000013,17.2,-126.0,71.0,-11,0.18499999999999994,1,2015
-0.049000000000000044,3.0,-0.019000000000000017,-0.018000000000000016,2.620000000000001,-65.0,21.0,-3,0.269,1,2015
0.01200000000000001,69.0,-0.02200000000000002,0.030000000000000027,14.759999999999998,-7.0,165.0,-13,0.07399999999999995,1,2015
0.019999999999999962,159.0,0.02200000000000002,0.05599999999999994,18.0,-24.0,304.0,-7,0.29799999999999993,1,2015
-0.06,118.0,-0.03200000000000003,-0.09399999999999997,1.799999999999999,22.0,49.0,1,-0.08600000000000008,1,2015
0.03400000000000003,189.0,0.07600000000000001,0.05599999999999994,2.59,-19.0,-8.0,-3,0.16599999999999993,1,2015
-0.02200000000000002,1.0,0.0050000000000000044,-0.02300000000000002,-2.9099999999999984,-136.0,-119.0,5,0.10699999999999998,1,2015
0.032999999999999974,59.0,0.06000000000000005,0.06399999999999995,13.6,-45.0,210.0,-4,0.26,1,2015
0.03300000000000003,100.0,0.064,0.041000000000000036,3.67,30.0,-14.0,-4,-0.015000000000000013,1,2015
