team,G,wins,losses,win_pct,SRS,SOS,Unnamed: 8_level_1,wins,losses,Unnamed: 11_level_1,wins,losses,Unnamed: 14_level_1,wins,losses,Unnamed: 17_level_1,Tm.,Opp.,Unnamed: 20_level_1,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,year
Arkansas,36,26,10,.722,14.04,8.60,,12,6,,15,3,,6,5,,2855,2659,,71.7,110.7,.381,.295,.558,49.5,49.8,10.8,12.4,.514,14.3,31.7,.290,2017
Baylor,35,27,8,.771,19.75,11.87,,12,6,,15,2,,6,4,,2550,2228,,65.3,111.5,.338,.328,.562,56.5,59.1,7.9,13.0,.530,17.1,40.2,.244,2017
Bucknell,35,26,9,.743,5.89,-2.48,,15,3,,14,2,,9,6,,2669,2376,,70.7,107.9,.372,.384,.578,50.6,54.1,10.2,9.7,.553,16.8,26.7,.253,2017
Butler,34,25,9,.735,17.70,10.23,,12,6,,13,3,,7,4,,2595,2341,,67.3,112.6,.371,.376,.581,50.6,50.0,8.9,8.4,.546,13.4,27.1,.275,2017
Cincinnati,36,30,6,.833,18.43,5.49,,16,2,,18,0,,8,3,,2674,2208,,65.1,113.3,.325,.361,.547,53.3,57.5,11.1,13.9,.520,12.9,35.5,.223,2017
Creighton,35,25,10,.714,17.27,8.95,,10,8,,13,4,,7,4,,2864,2549,,72.9,112.3,.277,.358,.592,49.3,55.5,8.4,7.6,.576,15.2,24.8,.189,2017
Dayton,32,24,8,.750,12.98,4.27,,15,3,,15,1,,7,3,,2428,2126,,69.4,108.9,.436,.381,.571,49.7,61.0,11.2,11.9,.538,15.0,25.8,.301,2017
Duke,37,28,9,.757,21.56,10.91,,11,7,,15,1,,4,6,,2991,2597,,69.9,115.7,.393,.383,.588,51.9,47.5,8.7,10.9,.548,14.2,31.6,.299,2017
East Tennessee State,35,27,8,.771,7.31,-2.11,,14,4,,13,2,,8,5,,2782,2438,,71.4,110.2,.432,.352,.587,53.1,53.8,11.6,13.6,.555,18.0,31.3,.304,2017
Florida,36,27,9,.750,22.40,11.01,,14,4,,9,1,,8,4,,2804,2394,,70.1,110.0,.402,.366,.556,51.3,47.2,10.7,11.8,.516,14.6,31.8,.293,2017
Florida Gulf Coast,34,26,8,.765,2.26,-3.42,,12,2,,16,3,,10,3,,2701,2356,,69.3,113.8,.329,.315,.579,53.9,52.3,8.7,9.7,.554,15.3,33.9,.231,2017
Florida State,35,26,9,.743,18.87,8.87,,12,6,,18,0,,3,6,,2873,2523,,72.6,113.1,.384,.313,.566,52.7,49.3,10.2,13.7,.537,14.1,33.6,.265,2017
Gonzaga,39,37,2,.949,25.26,4.13,,17,1,,15,1,,9,0,,3222,2398,,70.9,116.5,.390,.329,.596,54.7,51.8,9.6,11.2,.567,14.2,29.8,.280,2017
Iona,35,22,13,.629,1.08,-2.47,,12,8,,8,4,,7,7,,2813,2689,,72.3,109.9,.310,.400,.569,48.2,55.3,9.3,7.7,.534,14.6,26.9,.238,2017
Iowa State,35,24,11,.686,20.51,11.94,,12,6,,12,3,,5,6,,2829,2529,,70.6,112.5,.276,.393,.572,47.7,53.6,10.8,8.9,.550,12.6,25.6,.194,2017
Jacksonville State,35,20,15,.571,-2.85,-3.24,,9,7,,5,5,,10,9,,2434,2378,,65.3,105.7,.346,.367,.559,52.7,57.5,6.8,10.8,.528,18.0,31.5,.247,2017
Kansas,36,31,5,.861,23.53,12.23,,16,2,,14,1,,10,1,,2995,2588,,71.4,115.4,.360,.359,.583,53.0,54.5,9.6,11.2,.561,15.1,33.9,.244,2017
Kansas State,35,21,14,.600,14.80,10.48,,8,10,,11,5,,5,6,,2523,2372,,67.5,106.4,.412,.363,.560,49.2,60.0,11.4,10.3,.527,16.8,29.5,.286,2017
Kent State,36,22,14,.611,0.88,-1.63,,10,8,,10,6,,7,5,,2772,2628,,70.7,107.0,.328,.349,.521,54.0,45.5,8.9,9.7,.484,14.9,38.7,.236,2017
Kentucky,38,32,6,.842,23.88,10.49,,16,2,,15,2,,7,3,,3225,2716,,74.3,113.8,.409,.316,.564,53.2,51.6,8.1,13.0,.529,13.4,33.2,.288,2017
Louisville,34,25,9,.735,22.47,11.15,,12,6,,16,1,,5,5,,2628,2243,,68.5,112.0,.340,.321,.543,54.1,48.4,9.7,15.2,.514,13.4,36.6,.233,2017
Marquette,32,19,13,.594,15.26,8.60,,10,8,,14,3,,4,6,,2631,2418,,71.1,115.2,.310,.415,.607,49.6,57.1,10.1,9.3,.576,15.5,27.0,.242,2017
Maryland,33,24,9,.727,12.79,8.29,,12,6,,13,5,,8,2,,2438,2246,,68.1,108.1,.398,.411,.557,50.3,57.1,8.0,11.9,.523,16.3,31.1,.278,2017
Miami (FL),33,21,12,.636,14.48,9.57,,10,8,,14,2,,4,6,,2278,2116,,64.7,106.3,.343,.326,.544,53.0,47.8,9.9,10.5,.510,16.6,33.4,.246,2017
Michigan,38,26,12,.684,18.80,10.17,,10,8,,15,3,,3,8,,2851,2523,,63.8,116.5,.301,.451,.601,47.9,52.6,9.0,7.4,.570,12.8,24.5,.234,2017
Michigan State,35,20,15,.571,13.67,10.50,,10,8,,14,2,,2,7,,2515,2404,,68.2,105.0,.335,.380,.563,52.6,65.3,6.3,11.9,.540,18.0,29.1,.224,2017
Middle Tennessee,36,31,5,.861,9.80,-0.48,,17,1,,13,2,,11,2,,2697,2299,,66.4,112.4,.304,.299,.567,53.9,54.4,10.1,8.3,.543,13.6,30.7,.212,2017
Minnesota,34,24,10,.706,14.56,8.82,,11,7,,17,3,,5,5,,2556,2361,,70.3,104.6,.396,.299,.528,50.5,57.2,7.9,15.9,.487,14.0,29.6,.281,2017
Mount St. Mary's,36,20,16,.556,-4.29,-3.51,,14,4,,11,4,,8,11,,2446,2474,,68.4,99.1,.324,.369,.536,44.5,46.0,9.0,9.6,.510,17.1,23.0,.218,2017
Nevada,35,28,7,.800,10.49,2.03,,14,4,,13,1,,8,4,,2792,2496,,70.9,112.1,.413,.402,.561,52.4,59.9,7.6,11.0,.525,13.4,30.3,.291,2017
New Mexico State,34,28,6,.824,4.66,-3.82,,11,3,,17,1,,8,4,,2678,2310,,70.0,112.1,.431,.382,.568,54.4,55.3,6.9,9.6,.531,16.5,36.7,.307,2017
New Orleans,32,20,12,.625,-4.10,-5.34,,13,5,,11,3,,7,8,,2331,2215,,69.5,103.2,.427,.250,.552,52.9,60.2,11.2,8.6,.513,20.2,36.7,.303,2017
North Carolina,40,33,7,.825,24.84,11.76,,14,4,,16,0,,6,5,,3377,2824,,72.6,116.0,.348,.303,.550,58.2,58.9,9.7,9.7,.519,13.4,41.3,.244,2017
North Carolina Central,34,25,9,.735,-3.18,-12.12,,13,3,,11,2,,11,6,,2542,2159,,68.8,108.7,.341,.380,.546,51.7,52.7,8.9,8.7,.517,14.8,32.9,.233,2017
North Dakota,32,22,10,.688,-1.83,-5.45,,14,4,,11,2,,7,6,,2578,2357,,72.9,108.8,.364,.305,.573,50.5,52.6,10.6,7.5,.542,15.7,26.8,.260,2017
Northern Kentucky,35,24,11,.686,-0.17,-2.84,,12,6,,12,2,,8,7,,2659,2507,,70.8,107.3,.363,.422,.557,53.1,52.4,8.1,7.1,.529,16.4,31.7,.247,2017
Northwestern,36,24,12,.667,14.02,8.43,,10,8,,14,4,,5,5,,2558,2357,,66.5,106.8,.305,.356,.534,50.6,59.3,7.9,13.2,.497,13.8,30.7,.228,2017
Notre Dame,36,26,10,.722,17.81,9.78,,12,6,,16,2,,5,4,,2783,2494,,67.7,113.8,.286,.406,.573,48.7,57.8,10.4,9.7,.536,12.3,27.3,.229,2017
Oklahoma State,33,20,13,.606,19.19,12.22,,9,9,,11,5,,7,5,,2828,2589,,72.7,117.8,.383,.357,.583,52.9,50.8,10.5,8.1,.539,15.1,38.1,.302,2017
Oregon,39,33,6,.846,20.80,8.38,,16,2,,17,0,,7,3,,3076,2565,,68.8,114.2,.347,.388,.582,52.9,56.3,9.4,17.2,.554,14.7,32.2,.247,2017
Princeton,30,23,7,.767,6.57,-1.84,,14,0,,10,1,,10,4,,2149,1843,,65.2,109.5,.242,.460,.562,50.0,55.2,10.2,9.5,.537,13.5,24.4,.179,2017
Providence,33,20,13,.606,11.24,7.84,,10,8,,15,3,,4,7,,2319,2207,,67.6,103.6,.381,.359,.547,49.1,58.6,9.7,8.1,.514,16.3,26.4,.263,2017
Purdue,35,27,8,.771,20.13,8.79,,14,4,,15,2,,6,4,,2790,2393,,70.0,112.6,.333,.383,.589,54.9,65.3,7.3,6.1,.557,16.1,30.7,.252,2017
Rhode Island,35,25,10,.714,12.88,4.62,,13,5,,13,3,,7,5,,2577,2288,,67.4,108.8,.392,.323,.538,51.8,51.0,9.6,15.7,.507,14.0,32.8,.262,2017
Saint Mary's,34,29,5,.853,16.75,2.19,,16,2,,15,2,,10,1,,2449,1954,,61.3,117.6,.278,.414,.602,57.2,63.1,6.9,8.5,.578,15.2,33.0,.207,2017
Seton Hall,33,21,12,.636,12.10,9.25,,10,8,,12,2,,4,6,,2417,2323,,69.0,104.9,.376,.307,.526,54.7,46.4,9.9,6.6,.499,16.4,35.7,.242,2017
South Carolina,37,26,11,.703,17.52,10.16,,12,6,,15,3,,6,5,,2707,2414,,69.9,102.9,.398,.334,.518,50.8,50.6,11.0,11.1,.477,15.5,33.5,.278,2017
South Dakota State,35,18,17,.514,-2.30,-0.66,,8,8,,11,2,,3,12,,2683,2697,,69.2,109.6,.404,.456,.581,50.7,52.1,7.4,7.2,.537,16.4,27.4,.311,2017
Southern California,36,26,10,.722,11.48,6.40,,10,8,,14,3,,6,5,,2816,2633,,70.1,111.2,.368,.366,.560,50.3,56.4,9.9,13.3,.522,13.7,30.9,.273,2017
Southern Methodist,35,30,5,.857,18.71,4.45,,17,1,,18,0,,8,3,,2599,2100,,63.7,116.6,.360,.365,.574,56.3,61.9,9.0,11.1,.547,14.3,37.1,.251,2017
Texas Southern,35,23,12,.657,-6.41,-7.81,,16,2,,10,0,,11,11,,2593,2544,,69.7,105.5,.442,.345,.531,48.4,47.5,10.2,7.3,.480,14.3,31.6,.325,2017
Troy,37,22,15,.595,-0.47,-3.36,,10,8,,10,4,,6,10,,2889,2667,,70.1,111.0,.393,.403,.565,51.8,49.3,8.5,9.8,.528,15.3,31.6,.285,2017
UC Davis,36,23,13,.639,-5.21,-4.68,,11,5,,11,0,,6,9,,2525,2506,,70.2,98.9,.412,.316,.526,50.8,52.8,7.9,9.0,.490,17.6,28.9,.278,2017
UCLA,36,31,5,.861,20.67,6.39,,15,3,,16,1,,8,2,,3233,2719,,74.2,121.0,.268,.376,.618,52.4,63.7,7.9,12.5,.598,13.4,28.9,.198,2017
UNC Wilmington,35,29,6,.829,8.06,-0.55,,15,3,,13,1,,11,3,,2967,2624,,71.5,118.1,.317,.411,.578,51.6,52.7,9.3,8.2,.555,12.4,32.8,.219,2017
Vanderbilt,35,19,16,.543,13.69,10.72,,10,8,,11,5,,5,6,,2489,2385,,67.1,105.5,.348,.486,.563,50.0,55.2,6.2,9.8,.521,16.3,24.7,.271,2017
Vermont,35,29,6,.829,6.67,-3.27,,16,0,,16,1,,11,3,,2571,2174,,65.4,112.3,.341,.325,.580,52.8,50.5,8.7,11.4,.554,15.0,30.3,.239,2017
Villanova,36,32,4,.889,23.80,9.28,,15,3,,14,1,,9,2,,2779,2256,,65.6,117.6,.350,.433,.612,53.0,52.3,11.0,9.0,.575,15.0,30.0,.276,2017
Virginia,34,23,11,.676,20.63,10.93,,11,7,,12,4,,7,5,,2246,1916,,60.3,107.9,.260,.330,.548,52.3,56.4,9.1,13.9,.524,13.7,28.2,.184,2017
Virginia Commonwealth,35,26,9,.743,11.57,3.77,,14,4,,15,1,,7,4,,2616,2343,,69.0,106.8,.364,.294,.544,51.8,55.6,10.7,10.6,.510,15.3,31.2,.257,2017
Virginia Tech,33,22,11,.667,12.77,8.38,,10,8,,15,2,,4,6,,2610,2465,,69.8,112.5,.409,.397,.603,48.2,56.0,5.6,7.0,.569,15.5,23.4,.301,2017
Wake Forest,33,19,14,.576,14.19,9.80,,9,9,,11,3,,5,8,,2733,2588,,71.7,115.5,.407,.357,.586,51.9,55.5,7.7,10.1,.541,14.3,30.7,.317,2017
West Virginia,37,28,9,.757,24.45,9.67,,12,6,,16,2,,6,4,,3014,2467,,71.4,112.2,.389,.325,.545,52.1,57.3,13.8,14.2,.513,14.1,37.7,.266,2017
Wichita State,36,31,5,.861,21.24,2.96,,17,1,,16,1,,9,1,,2916,2246,,69.4,116.7,.401,.364,.579,56.1,59.1,9.4,11.4,.543,13.9,34.3,.294,2017
Winthrop,33,26,7,.788,1.34,-6.12,,15,3,,13,3,,12,3,,2615,2322,,71.5,108.3,.370,.429,.568,50.3,47.5,8.9,13.1,.535,15.7,27.1,.266,2017
Wisconsin,37,27,10,.730,19.40,9.40,,12,6,,15,2,,5,5,,2678,2308,,64.5,110.7,.329,.369,.542,54.7,51.9,10.3,9.8,.521,14.3,35.7,.212,2017
Xavier,38,24,14,.632,14.80,11.51,,9,9,,12,4,,4,8,,2836,2711,,68.2,109.1,.411,.361,.552,54.4,57.1,8.8,7.7,.519,15.7,34.5,.283,2017
Alabama,36,20,16,.556,12.34,10.64,,8,10,,12,4,,2,8,,2604,2543,,70.2,103.0,.419,.355,.550,50.3,50.3,9.0,14.7,.519,17.8,29.4,.281,2018
Arizona,35,27,8,.771,15.67,6.84,,14,4,,15,1,,8,3,,2818,2509,,68.6,115.6,.370,.321,.598,55.6,52.6,7.1,12.0,.563,15.3,33.3,.281,2018
Arizona State,32,20,12,.625,14.37,6.55,,8,10,,13,4,,4,6,,2645,2395,,72.2,113.5,.413,.413,.576,49.0,51.6,9.0,9.9,.538,13.0,27.9,.303,2018
Arkansas,35,23,12,.657,14.76,9.85,,10,8,,15,2,,3,7,,2819,2647,,71.3,111.8,.374,.321,.565,48.9,49.9,8.6,13.8,.538,13.2,28.7,.255,2018
Auburn,34,26,8,.765,15.97,7.29,,13,5,,15,1,,7,4,,2783,2488,,73.4,111.5,.398,.432,.557,51.7,53.1,10.1,15.2,.508,14.1,32.0,.308,2018
Bucknell,35,25,10,.714,4.49,-3.46,,16,2,,15,1,,10,8,,2837,2559,,72.4,110.3,.425,.392,.576,50.8,52.3,7.5,10.4,.539,15.1,27.0,.306,2018
Buffalo,36,27,9,.750,7.99,0.25,,15,3,,14,1,,8,5,,3047,2742,,73.9,113.4,.298,.406,.572,51.4,54.0,8.4,10.1,.549,14.3,31.8,.208,2018
Butler,35,21,14,.600,16.92,10.55,,9,9,,14,3,,3,7,,2763,2540,,69.6,111.0,.261,.374,.570,51.3,47.9,9.3,8.2,.540,13.9,27.4,.202,2018
Cal State Fullerton,32,20,12,.625,-0.93,-1.03,,10,6,,9,4,,7,7,,2318,2245,,69.9,102.8,.433,.291,.559,51.1,50.1,8.9,8.6,.516,18.0,27.1,.316,2018
Cincinnati,36,31,5,.861,20.25,3.53,,16,2,,15,1,,9,2,,2673,2071,,66.1,112.3,.360,.353,.543,55.6,60.4,10.8,15.8,.512,14.1,38.5,.249,2018
Clemson,35,25,10,.714,17.16,9.25,,11,7,,15,1,,4,6,,2584,2307,,67.5,108.5,.335,.399,.566,51.7,51.5,8.3,13.3,.529,15.3,27.1,.253,2018
College of Charleston,34,26,8,.765,1.83,-3.29,,14,4,,14,0,,7,6,,2536,2331,,65.9,111.1,.367,.378,.567,49.6,44.2,7.8,9.8,.527,13.2,25.7,.277,2018
Creighton,33,21,12,.636,16.35,8.10,,10,8,,16,2,,4,7,,2756,2444,,72.8,113.8,.259,.450,.599,51.0,58.3,7.7,6.7,.575,13.9,22.5,.194,2018
Davidson,33,21,12,.636,11.02,2.57,,13,5,,11,1,,6,8,,2519,2240,,65.3,115.7,.246,.484,.602,50.8,61.3,7.1,6.1,.574,13.1,22.6,.196,2018
Duke,37,29,8,.784,24.43,9.70,,13,5,,15,1,,6,5,,3121,2576,,70.6,118.6,.346,.363,.586,55.5,57.6,10.5,12.4,.559,14.7,38.8,.246,2018
Florida,34,21,13,.618,16.66,10.08,,11,7,,12,5,,5,4,,2577,2353,,68.4,109.6,.326,.403,.540,48.5,49.8,10.1,12.7,.507,12.3,28.7,.234,2018
Florida State,35,23,12,.657,15.78,8.50,,9,9,,13,2,,4,7,,2806,2551,,72.2,109.5,.370,.368,.562,51.8,52.6,9.4,14.0,.532,15.4,32.0,.256,2018
Georgia State,35,24,11,.686,3.22,-2.78,,12,6,,11,3,,9,6,,2614,2356,,67.9,108.8,.303,.413,.562,47.7,48.6,10.7,15.1,.540,14.5,26.0,.205,2018
Gonzaga,37,32,5,.865,18.44,2.60,,17,1,,15,1,,10,1,,3091,2505,,69.7,118.2,.321,.394,.593,56.0,50.1,8.9,9.6,.570,13.9,32.9,.227,2018
Houston,35,27,8,.771,15.99,4.16,,14,4,,15,0,,6,5,,2685,2271,,68.5,112.0,.326,.372,.563,54.6,53.0,9.1,9.0,.533,14.9,33.6,.234,2018
Iona,34,20,14,.588,0.75,-2.19,,11,7,,8,3,,7,8,,2702,2602,,71.5,109.2,.302,.408,.569,47.2,56.6,9.3,7.6,.539,14.3,24.4,.223,2018
Kansas,39,31,8,.795,21.39,11.88,,13,5,,14,3,,8,3,,3174,2803,,70.2,115.5,.270,.412,.594,50.3,55.7,9.2,10.9,.575,14.6,29.3,.191,2018
Kansas State,37,25,12,.676,12.85,8.74,,10,8,,14,3,,6,5,,2630,2478,,66.6,106.4,.338,.368,.560,47.4,54.4,11.9,9.3,.525,15.3,25.8,.248,2018
Kentucky,37,26,11,.703,17.24,10.73,,10,8,,16,2,,4,6,,2840,2599,,69.8,109.6,.440,.258,.555,53.6,49.0,8.0,13.7,.518,15.8,35.5,.307,2018
Lipscomb,33,23,10,.697,-2.10,-3.80,,10,4,,13,2,,10,7,,2708,2564,,77.0,105.0,.405,.399,.557,52.2,56.0,8.4,8.0,.518,16.9,28.3,.291,2018
Long Island University,35,18,17,.514,-8.60,-8.19,,10,8,,12,4,,5,11,,2696,2674,,72.9,105.3,.382,.397,.555,51.0,47.3,7.6,7.6,.523,17.0,29.7,.266,2018
Loyola (IL),38,32,6,.842,10.37,1.80,,15,3,,14,1,,9,4,,2721,2377,,65.9,108.6,.319,.357,.602,51.3,59.7,9.6,6.8,.577,17.3,22.4,.231,2018
Marshall,36,25,11,.694,4.21,0.44,,12,6,,15,2,,6,8,,3017,2849,,76.3,108.7,.335,.453,.583,46.7,59.0,9.1,12.7,.548,15.5,22.5,.256,2018
Maryland-Baltimore County,36,25,11,.694,-2.02,-3.84,,12,4,,15,2,,9,7,,2630,2466,,69.2,105.6,.307,.450,.550,49.1,59.1,10.8,7.3,.531,15.5,26.8,.198,2018
Miami (FL),32,22,10,.688,12.83,6.96,,11,7,,11,3,,8,4,,2361,2173,,67.8,107.9,.291,.360,.551,50.6,48.5,9.6,11.0,.531,14.6,29.1,.192,2018
Michigan,41,33,8,.805,19.03,9.41,,13,5,,15,1,,6,5,,3019,2596,,65.7,111.0,.307,.433,.564,50.3,53.6,9.6,8.1,.545,12.4,25.4,.203,2018
Michigan State,35,30,5,.857,22.41,7.10,,16,2,,16,1,,8,1,,2807,2271,,68.1,117.3,.359,.363,.601,57.6,67.6,6.0,18.5,.569,16.4,37.0,.268,2018
Missouri,33,20,13,.606,13.81,9.19,,10,8,,13,3,,5,6,,2399,2246,,67.3,107.2,.390,.453,.573,53.2,55.8,7.6,11.3,.537,18.3,31.2,.286,2018
Montana,34,26,8,.765,6.29,-2.24,,16,2,,14,0,,8,6,,2625,2329,,69.9,108.8,.386,.272,.549,53.3,45.3,10.9,9.2,.513,15.0,33.3,.273,2018
Murray State,32,26,6,.813,6.87,-3.53,,16,2,,14,2,,10,3,,2515,2117,,68.1,115.3,.381,.399,.591,54.1,54.1,9.9,8.7,.558,15.3,33.0,.280,2018
NC State,33,21,12,.636,12.91,6.70,,11,7,,16,3,,4,5,,2682,2477,,72.1,112.3,.342,.344,.562,50.3,55.0,10.2,9.2,.534,14.3,33.4,.238,2018
Nevada,37,29,8,.784,14.44,4.93,,15,3,,14,1,,11,3,,3055,2703,,70.5,115.5,.363,.404,.582,49.4,57.0,8.7,10.9,.548,12.0,26.4,.269,2018
New Mexico State,34,28,6,.824,9.06,-1.10,,12,2,,14,1,,8,3,,2572,2183,,70.1,107.5,.287,.367,.538,56.0,49.9,7.9,8.6,.519,15.2,34.2,.184,2018
North Carolina,37,26,11,.703,20.07,11.78,,11,7,,12,3,,6,5,,3018,2711,,71.7,113.4,.280,.351,.551,56.4,61.0,8.0,11.1,.520,14.0,37.4,.208,2018
North Carolina Central,35,19,16,.543,-13.18,-12.31,,9,7,,12,2,,3,13,,2520,2425,,68.8,104.3,.290,.311,.538,53.4,57.4,7.4,9.4,.512,17.4,33.9,.199,2018
Ohio State,34,25,9,.735,17.67,9.02,,15,3,,16,2,,6,2,,2591,2297,,67.9,111.0,.311,.342,.570,53.6,52.5,9.0,11.3,.541,14.9,30.1,.227,2018
Oklahoma,32,18,14,.563,13.81,10.56,,8,10,,13,2,,2,9,,2718,2614,,76.5,109.8,.332,.405,.569,49.8,50.2,8.4,11.0,.535,15.2,28.4,.247,2018
Pennsylvania,33,24,9,.727,2.24,-3.16,,12,2,,11,3,,9,4,,2506,2274,,70.2,105.3,.334,.427,.555,51.0,56.9,8.2,7.0,.533,14.8,23.6,.220,2018
Providence,35,21,14,.600,11.12,10.23,,10,8,,13,4,,4,7,,2575,2544,,69.5,104.1,.386,.329,.534,49.6,53.9,9.6,9.8,.496,15.1,28.8,.272,2018
Purdue,37,30,7,.811,23.41,8.74,,15,3,,16,1,,8,2,,2974,2431,,68.1,117.7,.356,.401,.606,51.8,57.9,8.4,12.5,.577,14.0,27.8,.265,2018
Radford,36,23,13,.639,-2.62,-4.09,,12,6,,12,2,,7,10,,2422,2336,,63.4,104.3,.307,.397,.528,52.3,52.0,9.7,9.1,.494,16.1,33.7,.223,2018
Rhode Island,34,26,8,.765,11.81,4.61,,15,3,,15,1,,7,4,,2583,2338,,69.2,109.0,.301,.320,.539,50.0,54.5,10.5,9.5,.511,13.1,31.0,.209,2018
San Diego State,33,22,11,.667,12.23,3.91,,11,7,,13,2,,5,7,,2545,2240,,70.4,109.6,.357,.360,.553,53.7,54.1,8.9,9.4,.519,14.6,31.9,.255,2018
Seton Hall,34,22,12,.647,15.67,10.11,,10,8,,14,3,,5,6,,2701,2512,,71.1,111.0,.352,.330,.558,53.1,54.3,8.6,9.1,.529,15.2,34.2,.246,2018
South Dakota State,35,28,7,.800,6.84,-0.38,,13,1,,15,0,,8,5,,2958,2599,,72.3,115.7,.354,.432,.590,52.2,46.6,6.7,5.9,.554,12.3,24.8,.269,2018
St. Bonaventure,34,26,8,.765,8.87,2.61,,14,4,,13,1,,9,4,,2620,2407,,69.4,109.5,.405,.337,.561,50.5,53.4,10.0,10.8,.516,14.3,29.2,.305,2018
Stephen F. Austin,35,28,7,.800,2.66,-6.47,,14,4,,16,1,,9,5,,2819,2386,,73.8,109.2,.398,.316,.576,52.6,49.8,14.0,9.7,.544,18.1,33.5,.280,2018
Syracuse,37,23,14,.622,12.89,10.02,,8,10,,14,5,,4,6,,2466,2360,,64.2,102.4,.405,.328,.518,52.6,47.5,10.7,17.4,.469,16.2,34.6,.298,2018
Tennessee,35,26,9,.743,18.20,10.12,,13,5,,13,2,,8,4,,2584,2301,,67.1,109.3,.355,.357,.549,51.4,62.1,9.4,12.8,.508,15.2,33.3,.269,2018
Texas,34,19,15,.559,13.96,10.67,,8,10,,13,4,,3,7,,2450,2338,,66.9,103.9,.330,.381,.527,50.0,44.7,8.9,12.8,.500,14.6,29.5,.219,2018
Texas A&M,35,22,13,.629,15.30,10.62,,9,9,,13,3,,4,7,,2631,2467,,70.9,106.1,.320,.330,.538,54.3,55.1,7.7,15.3,.514,16.3,33.9,.212,2018
Texas Christian,33,21,12,.636,16.38,9.68,,9,9,,15,3,,3,7,,2708,2487,,70.0,115.1,.342,.352,.590,54.5,62.8,9.1,9.4,.566,15.4,34.1,.241,2018
Texas Southern,36,16,20,.444,-7.53,-5.53,,12,6,,8,2,,5,17,,2787,2859,,72.7,105.8,.429,.370,.548,48.5,47.4,7.9,9.3,.505,15.1,28.4,.311,2018
Texas Tech,37,27,10,.730,19.38,9.60,,11,7,,17,1,,4,6,,2759,2397,,68.3,108.4,.393,.335,.555,52.6,54.9,10.3,12.8,.520,15.4,32.9,.276,2018
UCLA,33,21,12,.636,12.07,6.86,,11,7,,14,2,,3,7,,2679,2507,,71.4,111.1,.355,.404,.569,51.8,53.4,7.6,10.3,.537,14.5,28.4,.256,2018
UNC Greensboro,35,27,8,.771,4.54,-3.87,,15,3,,16,1,,8,6,,2562,2189,,66.9,107.1,.265,.452,.548,55.0,52.7,11.2,12.4,.525,17.1,34.2,.185,2018
Villanova,40,36,4,.900,26.64,10.24,,14,4,,12,1,,9,3,,3463,2807,,70.1,122.3,.294,.475,.623,52.4,53.7,9.1,10.5,.595,13.3,29.3,.229,2018
Virginia,34,31,3,.912,22.20,9.05,,17,1,,16,1,,10,1,,2283,1836,,60.6,110.5,.245,.350,.555,51.2,54.0,11.2,12.3,.527,12.3,26.9,.184,2018
Virginia Tech,33,21,12,.636,14.35,6.71,,10,8,,14,4,,6,5,,2634,2382,,69.9,113.0,.365,.399,.602,48.8,58.2,8.2,6.6,.577,15.3,23.9,.259,2018
West Virginia,37,26,11,.703,19.89,9.38,,11,7,,14,3,,5,5,,2964,2575,,70.5,113.2,.313,.384,.543,52.5,54.2,11.5,15.9,.504,13.3,36.8,.240,2018
Wichita State,33,25,8,.758,16.58,5.46,,14,4,,13,3,,9,2,,2731,2364,,70.0,117.3,.348,.392,.583,57.1,63.7,6.6,11.1,.551,14.1,35.6,.257,2018
Wright State,35,25,10,.714,0.58,-3.64,,14,4,,14,2,,8,7,,2500,2307,,69.9,101.4,.358,.348,.529,51.8,52.7,9.4,6.5,.491,16.3,28.9,.256,2018
Xavier,35,29,6,.829,19.06,9.43,,15,3,,17,1,,9,2,,2953,2616,,72.3,115.5,.410,.358,.601,55.1,57.3,8.0,8.4,.559,15.2,30.2,.320,2018
Abilene Christian,34,27,7,.794,-1.91,-7.34,,14,4,,13,2,,10,4,,2502,2161,,67.2,108.7,.336,.345,.565,50.3,58.5,12.9,8.0,.535,15.5,28.8,.239,2019
Arizona State,34,23,11,.676,10.28,6.04,,12,6,,13,3,,6,5,,2638,2494,,72.5,105.4,.438,.355,.543,52.6,51.1,8.5,9.6,.506,16.1,31.3,.298,2019
Auburn,40,30,10,.750,20.84,10.92,,11,7,,15,2,,4,6,,3188,2750,,69.2,114.1,.312,.494,.569,49.2,52.1,13.2,15.6,.543,14.3,31.6,.221,2019
Baylor,34,20,14,.588,13.38,9.26,,10,8,,13,5,,5,6,,2442,2302,,66.5,107.6,.323,.408,.538,54.1,54.4,9.2,13.8,.512,16.4,37.6,.219,2019
Belmont,33,27,6,.818,9.12,-2.60,,16,2,,13,1,,12,3,,2868,2439,,74.2,116.2,.286,.440,.603,52.2,61.9,8.9,9.1,.580,13.7,25.1,.211,2019
Bradley,35,20,15,.571,-0.08,-0.90,,9,9,,10,6,,5,8,,2329,2285,,66.2,100.2,.359,.348,.531,50.7,52.1,8.0,11.6,.497,16.7,26.9,.248,2019
Buffalo,36,32,4,.889,15.56,2.62,,16,2,,14,0,,12,3,,3037,2550,,74.5,112.8,.327,.436,.561,52.4,55.3,9.8,10.1,.535,13.8,31.8,.225,2019
Cincinnati,35,28,7,.800,14.53,5.50,,14,4,,16,2,,7,4,,2510,2194,,65.0,109.5,.376,.333,.528,53.7,53.4,9.3,14.5,.490,13.3,36.9,.265,2019
